OBJECTID,Kurum,Kod,Hat,YilAy,Ilerleme,Durum,TahminiAcilis,Aciklama
60,UAB,M11,Arnavutköy-Halkalı,2026-02,"96,00%",Test Aşamasında,2026-06,
60,UAB,M11,Arnavutköy-Halkalı,2026-03,"97,00%",Test Aşamasında,2026-06,
60,UAB,M11,Arnavutköy-Halkalı,2026-04,"98,00%",Test Aşamasında,2026-06,
60,UAB,M11,Arnavutköy-Halkalı,2026-05,"99,00%",Test Aşamasında,2026-06,
60,UAB,M11,Arnavutköy-Halkalı,2026-06,"100,00%",İşletmede,2026-06,19 Haziran 2026 tarihinde hizmete açıldı.
61,UAB,M1 (Kocaeli),Darıca Sahil-Gebze OSB Metro Hattı,2026-02,"92,50%",İnşa aşamasında,2026-10,
61,UAB,M1 (Kocaeli),Darıca Sahil-Gebze OSB Metro Hattı,2026-03,"93,00%",İnşa aşamasında,2026-10,
61,UAB,M1 (Kocaeli),Darıca Sahil-Gebze OSB Metro Hattı,2026-04,"93,50%",İnşa aşamasında,2026-10,
61,UAB,M1 (Kocaeli),Darıca Sahil-Gebze OSB Metro Hattı,2026-05,"94,00%",İnşa aşamasında,2026-10,Hattın genelinde %94'lük fiziksel ilerleme sağlandı. Ray döşeme işlemleri büyük ölçüde tamamlandı; istasyonlarda ince işler ve elektromekanik işlemler devam ediyor. Çalışmaların Eylül sonunda tamamlanması ve hattın 29 Ekim 2026'da açılması planlanıyor.
61,UAB,M1 (Kocaeli),Darıca Sahil-Gebze OSB Metro Hattı,2026-06,"94,00%",İnşa aşamasında,2026-10,Hattın genelinde %94'lük fiziksel ilerleme sağlandı. Ray döşeme işlemleri büyük ölçüde tamamlandı; istasyonlarda ince işler ve elektromekanik işlemler devam ediyor. Çalışmaların Eylül sonunda tamamlanması ve hattın 29 Ekim 2026'da açılması planlanıyor.
61,UAB,M1 (Kocaeli),Darıca Sahil-Gebze OSB Metro Hattı,2026-07,(bekleniyor),İnşa aşamasında,,
64,UAB,M14,Altunizade-Bosna Bulvarı Metro Hattı,2026-02,"73,50%",İnşa aşamasında,2027-12,
64,UAB,M14,Altunizade-Bosna Bulvarı Metro Hattı,2026-03,"74,00%",İnşa aşamasında,2027-12,
64,UAB,M14,Altunizade-Bosna Bulvarı Metro Hattı,2026-04,"74,50%",İnşa aşamasında,2027-12,
64,UAB,M14,Altunizade-Bosna Bulvarı Metro Hattı,2026-05,"75,00%",İnşa aşamasında,2027-12,"Projede kaba inşaat büyük ölçüde tamamlanırken, ray serimi ve elektromekanik altyapı çalışmaları hızla devam etmektedir. Aktarma merkezinden tepe bölgelere erişim sağlayacak güzergâhta, açılış kurdelesinin 2026 yılı içinde kesilmesi hedefleniyor."
64,UAB,M14,Altunizade-Bosna Bulvarı Metro Hattı,2026-06,"74,00%",İnşa aşamasında,2027-12,"Projede kaba inşaat büyük ölçüde tamamlanırken, ray serimi ve elektromekanik altyapı çalışmaları hızla devam etmektedir. Aktarma merkezinden tepe bölgelere erişim sağlayacak güzergâhta, açılış kurdelesinin 2027 yılı içinde kesilmesi hedefleniyor."
64,UAB,M14,Altunizade-Bosna Bulvarı Metro Hattı,2026-07,(bekleniyor),İnşa aşamasında,,
38,İBB Avrupa,T7,Feshane-Bayrampaşa Tramvay Hattı,2026-02,"22,36%",İnşa aşamasında,2028-06,
38,İBB Avrupa,T7,Feshane-Bayrampaşa Tramvay Hattı,2026-03,"24,98%",İnşa aşamasında,2028-06,
38,İBB Avrupa,T7,Feshane-Bayrampaşa Tramvay Hattı,2026-04,"27,60%",İnşa aşamasında,2028-06,
38,İBB Avrupa,T7,Feshane-Bayrampaşa Tramvay Hattı,2026-05,"29,15%",İnşa aşamasında,2028-06,"1,7 kilometresi yer altında bulunan hatta 4 farklı şaftta 400 kişilik bir ekiple çalışmalar tüm hızıyla sürüyor. Meydan İstasyonu'ndaki kazı çalışmalarının başarıyla tamamlandığı hatta, tünel kazı imalatlarına ise kesintisiz şekilde devam ediliyor."
38,İBB Avrupa,T7,Feshane-Bayrampaşa Tramvay Hattı,2026-06,"52,45%",İnşa aşamasında,2028-06,"1,7 kilometresi yer altında bulunan hatta 4 farklı şaftta 400 kişilik bir ekiple çalışmalar tüm hızıyla sürüyor. Meydan İstasyonu'ndaki kazı çalışmalarının başarıyla tamamlandığı hatta, tünel kazı imalatlarına ise kesintisiz şekilde devam ediliyor."
38,İBB Avrupa,T7,Feshane-Bayrampaşa Tramvay Hattı,2026-07,(bekleniyor),İnşa aşamasında,,
69,İBB Avrupa,M7,Mahmutbey-Hastane,2026-02,"51,90%",İnşa aşamasında,2027-12,
69,İBB Avrupa,M7,Mahmutbey-Hastane,2026-03,"52,30%",İnşa aşamasında,2027-12,
69,İBB Avrupa,M7,Mahmutbey-Hastane,2026-04,"52,70%",İnşa aşamasında,2027-12,
69,İBB Avrupa,M7,Mahmutbey-Hastane,2026-05,"53,30%",İnşa aşamasında,2027-12,"Mahmutbey-Kanuni Sultan Süleyman Hastanesi arasındaki 7,3 km uzunluğundaki 1. Etapta; istasyonlarda kazı ve kazık imalatları, tünellerde ise TBM ile tünel açma ve kaplama çalışmaları aralıksız sürüyor."
69,İBB Avrupa,M7,Mahmutbey-Hastane,2026-06,"54,40%",İnşa aşamasında,2027-12,"Mahmutbey-Kanuni Sultan Süleyman Hastanesi arasındaki 7,3 km uzunluğundaki 1. Etapta; istasyonlarda kazı ve kazık imalatları, tünellerde ise TBM ile tünel açma ve kaplama çalışmaları aralıksız sürüyor."
69,İBB Avrupa,M7,Mahmutbey-Hastane,2026-07,(bekleniyor),İnşa aşamasında,,(bekleniyor)
1,İBB Avrupa,M1B,Kirazlı-Halkalı Üniversite,2026-02,"15,91%",İnşa aşamasında,2029-12,
1,İBB Avrupa,M1B,Kirazlı-Halkalı Üniversite,2026-03,"19,54%",İnşa aşamasında,2029-12,
1,İBB Avrupa,M1B,Kirazlı-Halkalı Üniversite,2026-04,"23,17%",İnşa aşamasında,2029-12,
1,İBB Avrupa,M1B,Kirazlı-Halkalı Üniversite,2026-05,"23,37%",İnşa aşamasında,2029-12,"Barbaros ve Malazgirt istasyonlarında NATM kazıları tamamlandı, beton kaplama çalışmalarnda ise sona gelindi. Fatih İstasyonu'nda ise hat tünel kazısını gerçekleştirecek TMB'lerin çalışmaya başlaması için hazırlıklar devam ediyor."
1,İBB Avrupa,M1B,Kirazlı-Halkalı Üniversite,2026-06,"23,47%",İnşa aşamasında,2029-12,"Barbaros ve Malazgirt istasyonlarında NATM kazıları tamamlandı, beton kaplama çalışmalarnda ise sona gelindi. Fatih İstasyonu'nda ise hat tünel kazısını gerçekleştirecek TMB'lerin çalışmaya başlaması için hazırlıklar devam ediyor."
1,İBB Avrupa,M1B,Kirazlı-Halkalı Üniversite,2026-07,"24,00%",İnşa aşamasında,2029-12,"Barbaros ve Malazgirt istasyonlarında NATM kazıları tamamlandı, beton kaplama çalışmalarnda ise sona gelindi. Fatih İstasyonu'nda ise hat tünel kazısını gerçekleştirecek TMB'lerin çalışmaya başlaması için hazırlıklar devam ediyor."
3,İBB Avrupa,M7,Yıldız-Kabataş,2026-02,"67,87%",Beklemede,-,
3,İBB Avrupa,M7,Yıldız-Kabataş,2026-03,"67,82%",Beklemede,-,
3,İBB Avrupa,M7,Yıldız-Kabataş,2026-04,"67,85%",Beklemede,-,
3,İBB Avrupa,M7,Yıldız-Kabataş,2026-05,"68,12%",Beklemede,-,Beşiktaş bölgesindeki arkeolojik kazılar nedeniyle inşaat süreci duraklamış durumda. Kabataş istasyonunda kaba inşaatta sona yaklaşıldı. Diğer bölümlerde elektromekanik ve ray montaj işlemleri program dahilinde sürdürülüyor.
3,İBB Avrupa,M7,Yıldız-Kabataş,2026-06,"68,12%",Beklemede,-,Beşiktaş bölgesindeki arkeolojik kazılar nedeniyle inşaat süreci duraklamış durumda.
3,İBB Avrupa,M7,Yıldız-Kabataş,2026-07,(bekleniyor),Beklemede,,(bekleniyor)
67,İBB Anadolu,M5,Samandıra Merkez-Sultanbeyli,2026-02,"96,50%",Test Aşamasında,2026-05,
67,İBB Anadolu,M5,Samandıra Merkez-Sultanbeyli,2026-03,"98,20%",Test Aşamasında,2026-05,
67,İBB Anadolu,M5,Samandıra Merkez-Sultanbeyli,2026-04,"99,90%",Test Aşamasında,2026-05,
67,İBB Anadolu,M5,Samandıra Merkez-Sultanbeyli,2026-05,"100,00%",İşletmede,2026-05,22 Mayıs 2026 tarihinde hizmete açıldı.
6,İBB Anadolu,M12,Göztepe-Ümraniye Metro Hattı,2026-02,"88,20%",İnşa aşamasında,2026-10,
6,İBB Anadolu,M12,Göztepe-Ümraniye Metro Hattı,2026-03,"88,20%",İnşa aşamasında,2026-10,
6,İBB Anadolu,M12,Göztepe-Ümraniye Metro Hattı,2026-04,"88,20%",İnşa aşamasında,2026-10,
6,İBB Anadolu,M12,Göztepe-Ümraniye Metro Hattı,2026-05,"94,70%",İnşa aşamasında,2026-10,Sürücüsüz sistem altyapısıyla tasarlanan projede elektromekanik montajlar hızla sürüyor. Hatın ilk test sürüşü ise 60. Yıl Parkı ile Ataşehir istasyonları arasında gerçekleştirildi. Hatta yılın sonuna doğru ilk yolculu seferlerin gerçekleştirilmesi hedefleniyor.
6,İBB Anadolu,M12,Göztepe-Ümraniye Metro Hattı,2026-06,"94,70%",İnşa aşamasında,2026-10,Sürücüsüz sistem altyapısıyla tasarlanan projede elektromekanik montajlar hızla sürüyor. Hatın ilk test sürüşü ise 60. Yıl Parkı ile Ataşehir istasyonları arasında gerçekleştirildi. Hatta yılın sonuna doğru ilk yolculu seferlerin gerçekleştirilmesi hedefleniyor.
6,İBB Anadolu,M12,Göztepe-Ümraniye Metro Hattı,2026-07,"94,70%",İnşa aşamasında,2026-10,(bekleniyor)
70,İBB Anadolu,M4,Tavşantepe-Kaynarca Merkez,2026-02,"87,00%",İnşa aşamasında,2027-03,
70,İBB Anadolu,M4,Tavşantepe-Kaynarca Merkez,2026-03,"87,50%",İnşa aşamasında,2027-03,
70,İBB Anadolu,M4,Tavşantepe-Kaynarca Merkez,2026-04,"88,00%",İnşa aşamasında,2027-03,
70,İBB Anadolu,M4,Tavşantepe-Kaynarca Merkez,2026-05,"88,00%",İnşa aşamasında,2027-03,"Mevcut raylı sistem ağını sahil hattıyla buluşturacak tünel imalatları bitirildi. İstasyonlardaki teknik donanım imalatlarının ve diğer ince işlerin sürdüğü etapta, yıl içerisinde yolculu işletmeye geçilmesi için hazırlıklar devam ediyor."
70,İBB Anadolu,M4,Tavşantepe-Kaynarca Merkez,2026-06,"89,20%",İnşa aşamasında,2027-03,"Mevcut raylı sistem ağını sahil hattıyla buluşturacak tünel imalatları bitirildi. İstasyonlardaki teknik donanım imalatlarının ve diğer ince işlerin sürdüğü etapta, yıl içerisinde yolculu işletmeye geçilmesi için hazırlıklar devam ediyor."
70,İBB Anadolu,M4,Tavşantepe-Kaynarca Merkez,2026-07,(bekleniyor),İnşa aşamasında,,(bekleniyor)
49,İBB Anadolu,M10,Pendik Merkez-Fevzi Çakmak,2026-02,"87,00%",İnşa aşamasında,2027-03,
49,İBB Anadolu,M10,Pendik Merkez-Fevzi Çakmak,2026-03,"87,50%",İnşa aşamasında,2027-03,
49,İBB Anadolu,M10,Pendik Merkez-Fevzi Çakmak,2026-04,"88,00%",İnşa aşamasında,2027-03,
49,İBB Anadolu,M10,Pendik Merkez-Fevzi Çakmak,2026-05,"88,00%",İnşa aşamasında,2027-03,"Hızlı tren ve Marmaray ağını Sabiha Gökçen Havalimanı'na entegre edecek güzergahta fiziki yapım çalışmaları sürüyor. Ray serimi ve istasyon donatıları üzerinde yoğunlaşılan projede, yıl bitmeden operasyonel süreçlerin tamamlanması öngörülüyor."
49,İBB Anadolu,M10,Pendik Merkez-Fevzi Çakmak,2026-06,"89,20%",İnşa aşamasında,2027-03,"Hızlı tren ve Marmaray ağını Sabiha Gökçen Havalimanı'na entegre edecek güzergahta fiziki yapım çalışmaları sürüyor. Ray serimi ve istasyon donatıları üzerinde yoğunlaşılan projede, yıl bitmeden operasyonel süreçlerin tamamlanması öngörülüyor."
49,İBB Anadolu,M10,Pendik Merkez-Fevzi Çakmak,2026-07,(bekleniyor),İnşa aşamasında,,(bekleniyor)
66,İBB Anadolu,M13,Yenidoğan-Emek Metro Hattı,2026-02,"8,25%",Beklemede,-,
66,İBB Anadolu,M13,Yenidoğan-Emek Metro Hattı,2026-03,"8,25%",Beklemede,-,
66,İBB Anadolu,M13,Yenidoğan-Emek Metro Hattı,2026-04,"8,25%",Beklemede,-,
66,İBB Anadolu,M13,Yenidoğan-Emek Metro Hattı,2026-05,"8,25%",Beklemede,-,Yapım çalışmalarına İBB öz kaynakları ile başlanmış olsa da istenen ilerleme miktarlarının hattın Cumhurbaşkanlığı Kamu Yatırım Programına dahil edilmesi ve akabinde kredi onay süreçlerinin tamamlanması ile mümkün olması bekleniyor.
